DATE,"COUNTRY 
CODE","TRANSP. 
METHOD",QUANTITY,Country,Code,CONTINENT
2017-01-02,FI,Air,38696,Finland,FI,EU
2017-01-03,SN,Sea,30041,Slovenia,SN,EU
2017-01-03,LC,Air,33655,Liechtenstein,LC,EU
2017-01-03,SE,Air,31182,Serbia,SE,EU
2017-01-03,EQ,Air,38240,Equatorial Guinea,EQ,AF
2017-01-03,SD,Air,33986,Sweden,SD,EU
2017-01-03,UKR,Sea,33345,Ukraine,UKR,EU
2017-01-03,GL,Sea,36768,Greenland,GL,AM
2017-01-03,AN,Sea,35265,Andorra,AN,EU
2017-01-03,HS,Air,32954,Holy See,HS,EU
2017-01-03,GL,Air,35118,Greenland,GL,AM
2017-01-03,BM,Air,34891,Bahamas,BM,AM
2017-01-03,IN,Air,34114,India,IN,AS
2017-01-03,GE,Sea,31276,Germany,GE,EU
2017-01-03,SU,Sea,32661,Suriname,SU,AM
2017-01-03,CL,Air,35850,Chile,CL,AM
2017-01-03,MD,Air,32262,Moldova,MD,EU
2017-01-03,CL,Sea,31187,Chile,CL,AM
2017-01-03,SE,Air,36366,Serbia,SE,EU
2017-01-03,DR,Sea,38325,Dominican Republic,DR,AM
2017-01-03,ET,Sea,39357,Estonia,ET,EU
2017-01-04,SW,Air,32028,Switzerland,SW,EU
2017-01-04,RO,Air,33192,Romania,RO,EU
2017-01-04,SA,Sea,34942,South Africa,SA,AF
2017-01-04,CO,Air,38741,Colombia,CO,AM
2017-01-04,HO,Sea,31389,Honduras,HO,AM
2017-01-04,DE,Sea,37240,Denmark,DE,EU
2017-01-04,NE,Sea,32212,Netherlands,NE,EU
2017-01-04,CA,Air,39061,Canada,CA,AM
2017-01-04,IT,Air,38704,Italy,IT,EU
2017-01-04,AL,Air,37450,Albania,AL,EU
2017-01-04,LC,Sea,35469,Liechtenstein,LC,EU
2017-01-04,VE,Sea,37784,Venezuela,VE,AM
2017-01-04,CL,Sea,31003,Chile,CL,AM
2017-01-04,CA,Sea,37438,Canada,CA,AM
2017-01-04,UK,Air,31921,United Kingdom,UK,EU
2017-01-04,NE,Air,33149,Netherlands,NE,EU
2017-01-04,CO,Sea,37358,Colombia,CO,AM
2017-01-04,NI,Air,33356,Nicaragua,NI,AM
2017-01-04,DE,Sea,38124,Denmark,DE,EU
2017-01-04,SU,Air,35997,Suriname,SU,AM
2017-01-05,JA,Sea,35621,Jamaica,JA,AM
2017-01-05,SP,Air,31456,Spain,SP,EU
2017-01-05,GE,Air,34935,Germany,GE,EU
2017-01-05,RO,Sea,35615,Romania,RO,EU
2017-01-05,SA,Sea,32449,South Africa,SA,AF
2017-01-05,PO,Sea,34718,Portugal,PO,EU
2017-01-05,SL,Air,39535,Slovakia,SL,EU
2017-01-05,LC,Air,38953,Liechtenstein,LC,EU
2017-01-05,BH,Air,38112,Bosnia and Herzegovina,BH,EU
2017-01-05,SU,Sea,38190,Suriname,SU,AM
2017-01-05,UKR,Air,34365,Ukraine,UKR,EU
2017-01-05,CO,Sea,39836,Colombia,CO,AM
2017-01-05,BE,Sea,39293,Belize,BE,AM
2017-01-05,HU,Air,32207,Hungary,HU,EU
2017-01-05,PA,Sea,35434,Panama,PA,AM
2017-01-05,UKR,Sea,37922,Ukraine,UKR,EU
2017-01-05,SM,Air,33499,San Marino,SM,EU
2017-01-05,IN,Air,36448,India,IN,AS
2017-01-05,UK,Air,34552,United Kingdom,UK,EU
2017-01-05,SW,Sea,31696,Switzerland,SW,EU
2017-01-06,US,Sea,38633,United States,US,AM
2017-01-06,FR,Sea,35318,France,FR,EU
2017-01-06,DR,Air,36275,Dominican Republic,DR,AM
2017-01-06,SM,Sea,30701,San Marino,SM,EU
2017-01-06,EG,Air,33954,Egypt,EG,AF
2017-01-06,EC,Sea,38342,Ecuador,EC,AM
2017-01-06,MO,Sea,30035,Monaco,MO,EU
2017-01-06,AN,Air,31864,Andorra,AN,EU
2017-01-06,GY,Sea,30147,Guyana,GY,AM
2017-01-06,RO,Air,39454,Romania,RO,EU
2017-01-06,BO,Air,39801,Bolivia,BO,AM
2017-01-06,BH,Sea,30724,Bosnia and Herzegovina,BH,EU
2017-01-06,DR,Air,32380,Dominican Republic,DR,AM
2017-01-06,IT,Sea,31076,Italy,IT,EU
2017-01-06,IR,Sea,32526,Ireland,IR,EU
2017-01-06,SL,Sea,34713,Slovakia,SL,EU
2017-01-06,SU,Air,33521,Suriname,SU,AM
2017-01-06,SW,Sea,34949,Switzerland,SW,EU
2017-01-06,SD,Sea,36352,Sweden,SD,EU
2017-01-06,EC,Sea,39561,Ecuador,EC,AM
2017-01-07,US,Sea,37091,United States,US,AM
2017-01-07,IR,Sea,33651,Ireland,IR,EU
2017-01-07,SW,Sea,31659,Switzerland,SW,EU
2017-01-07,CT,Air,34936,Croatia,CT,EU
2017-01-07,BA,Sea,31628,Barbados,BA,AM
2017-01-07,HW,Air,35694,Hawaii,HW,AM
2017-01-07,RO,Air,38928,Romania,RO,EU
2017-01-07,CH,Sea,30510,China,CH,AS
2017-01-07,AT,Air,32552,Australia,AT,OC
2017-01-07,PL,Sea,36900,Poland,PL,EU
2017-01-07,MN,Air,39017,Montenegro,MN,EU
2017-01-07,PL,Air,38553,Poland,PL,EU
2017-01-07,PE,Sea,39487,Peru,PE,AM
2017-01-07,PG,Sea,34118,Paraguay,PG,AM
2017-01-07,EQ,Sea,30189,Equatorial Guinea,EQ,AF
2017-01-07,HO,Sea,31136,Honduras,HO,AM
2017-01-07,LA,Air,36226,Latvia,LA,EU
2017-01-07,SK,Sea,30579,South Korea,SK,AS
2017-01-07,NZ,Sea,39155,New Zealand,NZ,OC
2017-01-07,AT,Sea,33115,Australia,AT,OC
2017-01-08,JA,Air,35735,Jamaica,JA,AM
2017-01-08,MO,Sea,31020,Monaco,MO,EU
2017-01-08,IC,Sea,34942,Iceland,IC,EU
2017-01-08,RU,Sea,34792,Russia,RU,EU
2017-01-08,MO,Sea,37486,Monaco,MO,EU
2017-01-08,BH,Air,33651,Bosnia and Herzegovina,BH,EU
2017-01-08,MR,Air,34096,Morroco,MR,AF
2017-01-08,MA,Air,33662,Malta,MA,EU
2017-01-08,FR,Air,35209,France,FR,EU
2017-01-08,DE,Air,33358,Denmark,DE,EU
2017-01-08,PA,Air,30233,Panama,PA,AM
2017-01-08,BZ,Air,32848,Brazil,BZ,AM
2017-01-08,RU,Sea,34952,Russia,RU,EU
2017-01-08,RU,Air,38744,Russia,RU,EU
2017-01-08,BO,Air,32762,Bolivia,BO,AM
2017-01-08,HT,Sea,36629,Haiti,HT,AM
2017-01-08,SP,Sea,39455,Spain,SP,EU
2017-01-08,RO,Sea,33931,Romania,RO,EU
2017-01-08,HU,Sea,33937,Hungary,HU,EU
2017-01-08,CR,Air,36902,Costa Rica,CR,AM
2017-01-09,RO,Air,32567,Romania,RO,EU
2017-01-09,ES,Air,31554,El Salvador,ES,AM
2017-01-09,PR,Sea,34661,Puerto Rico,PR,AM
2017-01-09,CZ,Sea,32885,Czech Republic (Czechia),CZ,EU
2017-01-09,BG,Air,30393,Belgium,BG,EU
2017-01-09,US,Air,38120,United States,US,AM
2017-01-09,IT,Sea,37379,Italy,IT,EU
2017-01-09,CO,Sea,38004,Colombia,CO,AM
2017-01-09,AT,Sea,38194,Australia,AT,OC
2017-01-09,DR,Air,35622,Dominican Republic,DR,AM
2017-01-09,UK,Sea,35698,United Kingdom,UK,EU
2017-01-09,US,Sea,38929,United States,US,AM
2017-01-09,SD,Sea,34115,Sweden,SD,EU
2017-01-09,BO,Sea,37064,Bolivia,BO,AM
2017-01-09,CU,Air,31904,Cuba,CU,AM
2017-01-09,SK,Air,36074,South Korea,SK,AS
2017-01-09,CA,Sea,36759,Canada,CA,AM
2017-01-09,BE,Air,33665,Belize,BE,AM
2017-01-09,MA,Sea,33518,Malta,MA,EU
2017-01-09,MA,Sea,33531,Malta,MA,EU
2017-01-10,HO,Air,34195,Honduras,HO,AM
2017-01-10,BE,Sea,31286,Belize,BE,AM
2017-01-10,MR,Air,39818,Morroco,MR,AF
2017-01-10,LU,Air,30921,Luxembourg,LU,EU
2017-01-10,BR,Sea,30917,Belarus,BR,EU
2017-01-10,CO,Air,34464,Colombia,CO,AM
2017-01-10,GY,Air,35573,Guyana,GY,AM
2017-01-10,SD,Air,35057,Sweden,SD,EU
2017-01-10,IC,Air,38577,Iceland,IC,EU
2017-01-10,MR,Air,30835,Morroco,MR,AF
2017-01-10,LA,Sea,35160,Latvia,LA,EU
2017-01-10,AN,Air,36400,Andorra,AN,EU
2017-01-10,CT,Sea,33824,Croatia,CT,EU
2017-01-10,GL,Air,36872,Greenland,GL,AM
2017-01-10,RO,Air,32114,Romania,RO,EU
2017-01-10,GL,Sea,35313,Greenland,GL,AM
2017-01-10,LA,Sea,32477,Latvia,LA,EU
2017-01-10,GR,Sea,33890,Greece,GR,EU
2017-01-10,VE,Sea,37834,Venezuela,VE,AM
2017-01-10,FR,Sea,39434,France,FR,EU
2017-01-11,NI,Air,39767,Nicaragua,NI,AM
2017-01-11,SA,Sea,36622,South Africa,SA,AF
2017-01-11,BE,Air,34152,Belize,BE,AM
2017-01-11,BA,Air,31465,Barbados,BA,AM
2017-01-11,HT,Sea,35594,Haiti,HT,AM
2017-01-11,SP,Sea,34288,Spain,SP,EU
2017-01-11,RO,Sea,30426,Romania,RO,EU
2017-01-11,PL,Sea,33527,Poland,PL,EU
2017-01-11,CO,Air,38685,Colombia,CO,AM
2017-01-11,IT,Air,37555,Italy,IT,EU
2017-01-11,PO,Air,36848,Portugal,PO,EU
2017-01-11,CZ,Sea,32682,Czech Republic (Czechia),CZ,EU
2017-01-11,LA,Sea,33751,Latvia,LA,EU
2017-01-11,BO,Air,33352,Bolivia,BO,AM
2017-01-11,MN,Sea,39841,Montenegro,MN,EU
2017-01-11,DE,Sea,30794,Denmark,DE,EU
2017-01-11,NI,Sea,35252,Nicaragua,NI,AM
2017-01-11,SD,Sea,37395,Sweden,SD,EU
2017-01-11,NZ,Air,35724,New Zealand,NZ,OC
2017-01-11,UKR,Air,36653,Ukraine,UKR,EU
2017-01-12,PL,Sea,39375,Poland,PL,EU
2017-01-12,MN,Air,35570,Montenegro,MN,EU
2017-01-12,BE,Sea,32797,Belize,BE,AM
2017-01-12,BO,Sea,35466,Bolivia,BO,AM
2017-01-12,EC,Air,31710,Ecuador,EC,AM
2017-01-12,EQ,Sea,37974,Equatorial Guinea,EQ,AF
2017-01-12,CR,Sea,34634,Costa Rica,CR,AM
2017-01-12,UR,Sea,30614,Uruguay,UR,AM
2017-01-12,BU,Air,33892,Bulgaria,BU,EU
2017-01-12,VE,Sea,32399,Venezuela,VE,AM
2017-01-12,HS,Air,35392,Holy See,HS,EU
2017-01-12,VE,Sea,35233,Venezuela,VE,AM
2017-01-12,CH,Air,30818,China,CH,AS
2017-01-12,UK,Air,38392,United Kingdom,UK,EU
2017-01-12,CL,Sea,38213,Chile,CL,AM
2017-01-12,MN,Air,32063,Montenegro,MN,EU
2017-01-12,CA,Air,32045,Canada,CA,AM
2017-01-12,CU,Air,32888,Cuba,CU,AM
2017-01-12,CZ,Air,34329,Czech Republic (Czechia),CZ,EU
2017-01-12,JA,Air,36333,Jamaica,JA,AM
2017-01-13,PO,Sea,39976,Portugal,PO,EU
2017-01-13,CZ,Air,35659,Czech Republic (Czechia),CZ,EU
2017-01-13,SP,Sea,32424,Spain,SP,EU
2017-01-13,HO,Sea,31422,Honduras,HO,AM
2017-01-13,IC,Air,32970,Iceland,IC,EU
2017-01-13,MA,Sea,30071,Malta,MA,EU
2017-01-13,AL,Sea,33807,Albania,AL,EU
2017-01-13,DE,Sea,37327,Denmark,DE,EU
2017-01-13,HS,Air,33264,Holy See,HS,EU
2017-01-13,SL,Sea,31066,Slovakia,SL,EU
2017-01-13,CU,Sea,37247,Cuba,CU,AM
2017-01-13,JP,Sea,36025,Japan,JP,AS
2017-01-13,ES,Air,32330,El Salvador,ES,AM
2017-01-13,LA,Air,32096,Latvia,LA,EU
2017-01-13,NM,Sea,38758,North Macedonia,NM,EU
2017-01-13,UKR,Air,38307,Ukraine,UKR,EU
2017-01-13,NI,Sea,30228,Nicaragua,NI,AM
2017-01-13,BZ,Air,34237,Brazil,BZ,AM
2017-01-13,HT,Air,39886,Haiti,HT,AM
2017-01-13,AR,Air,39724,Argentina,AR,AM
2017-01-14,UKR,Air,36260,Ukraine,UKR,EU
2017-01-14,FR,Air,31957,France,FR,EU
2017-01-14,CR,Air,36144,Costa Rica,CR,AM
2017-01-14,BG,Air,35611,Belgium,BG,EU
2017-01-14,BZ,Air,34249,Brazil,BZ,AM
2017-01-14,SW,Sea,32688,Switzerland,SW,EU
2017-01-14,BG,Air,34253,Belgium,BG,EU
2017-01-14,SK,Sea,30116,South Korea,SK,AS
2017-01-14,BA,Sea,38712,Barbados,BA,AM
2017-01-14,EQ,Sea,38840,Equatorial Guinea,EQ,AF
2017-01-14,RU,Air,31600,Russia,RU,EU
2017-01-14,SL,Sea,39910,Slovakia,SL,EU
2017-01-14,PR,Sea,36670,Puerto Rico,PR,AM
2017-01-14,FI,Air,34750,Finland,FI,EU
2017-01-14,RO,Air,34478,Romania,RO,EU
2017-01-14,US,Air,34486,United States,US,AM
2017-01-14,EC,Sea,38571,Ecuador,EC,AM
2017-01-14,MO,Air,37158,Monaco,MO,EU
2017-01-14,PE,Sea,39021,Peru,PE,AM
2017-01-14,BO,Sea,35498,Bolivia,BO,AM
2017-01-15,SN,Air,30054,Slovenia,SN,EU
2017-01-15,HW,Sea,34419,Hawaii,HW,AM
2017-01-15,HU,Air,34404,Hungary,HU,EU
2017-01-15,HW,Sea,35648,Hawaii,HW,AM
2017-01-15,BR,Sea,39201,Belarus,BR,EU
2017-01-15,HU,Air,31597,Hungary,HU,EU
2017-01-15,EC,Sea,35978,Ecuador,EC,AM
2017-01-15,PO,Air,38054,Portugal,PO,EU
2017-01-15,CI,Sea,35319,Cote d'Ivore,CI,AF
2017-01-15,SE,Sea,34359,Serbia,SE,EU
2017-01-15,CR,Sea,39556,Costa Rica,CR,AM
2017-01-15,EC,Air,31233,Ecuador,EC,AM
2017-01-15,UKR,Sea,30809,Ukraine,UKR,EU
2017-01-15,DE,Sea,38251,Denmark,DE,EU
2017-01-15,CI,Air,35560,Cote d'Ivore,CI,AF
2017-01-15,ES,Air,35886,El Salvador,ES,AM
2017-01-15,UR,Sea,32501,Uruguay,UR,AM
2017-01-15,SP,Air,34624,Spain,SP,EU
2017-01-15,ES,Air,30087,El Salvador,ES,AM
2017-01-15,UK,Sea,31350,United Kingdom,UK,EU
2017-01-16,BO,Air,39791,Bolivia,BO,AM
2017-01-16,NO,Sea,37722,Norway,NO,EU
2017-01-16,PA,Air,30848,Panama,PA,AM
2017-01-16,FR,Sea,38460,France,FR,EU
2017-01-16,CA,Sea,38982,Canada,CA,AM
2017-01-16,RU,Air,38357,Russia,RU,EU
2017-01-16,JP,Air,30183,Japan,JP,AS
2017-01-16,NM,Air,30182,North Macedonia,NM,EU
2017-01-16,EG,Air,30366,Egypt,EG,AF
2017-01-16,BH,Air,39424,Bosnia and Herzegovina,BH,EU
2017-01-16,LU,Air,34739,Luxembourg,LU,EU
2017-01-16,CO,Sea,35738,Colombia,CO,AM
2017-01-16,PR,Sea,39440,Puerto Rico,PR,AM
2017-01-16,HW,Air,38520,Hawaii,HW,AM
2017-01-16,JP,Air,36377,Japan,JP,AS
2017-01-16,UKR,Air,30854,Ukraine,UKR,EU
2017-01-16,AU,Air,34630,Austria,AU,EU
2017-01-16,NI,Air,30648,Nicaragua,NI,AM
2017-01-16,AL,Air,32666,Albania,AL,EU
2017-01-16,SL,Air,37989,Slovakia,SL,EU
2017-01-17,BO,Air,32479,Bolivia,BO,AM
2017-01-17,GE,Sea,30935,Germany,GE,EU
2017-01-17,SP,Sea,37700,Spain,SP,EU
2017-01-17,IC,Sea,33714,Iceland,IC,EU
2017-01-17,PG,Sea,33806,Paraguay,PG,AM
2017-01-17,UK,Sea,32101,United Kingdom,UK,EU
2017-01-17,JP,Sea,38113,Japan,JP,AS
2017-01-17,NE,Sea,30818,Netherlands,NE,EU
2017-01-17,LC,Air,34051,Liechtenstein,LC,EU
2017-01-17,SP,Air,35780,Spain,SP,EU
2017-01-17,BU,Air,35290,Bulgaria,BU,EU
2017-01-17,SK,Sea,33902,South Korea,SK,AS
2017-01-17,LI,Sea,33600,Lithuania,LI,EU
2017-01-17,SM,Air,32791,San Marino,SM,EU
2017-01-17,BU,Sea,36476,Bulgaria,BU,EU
2017-01-17,HT,Air,37479,Haiti,HT,AM
2017-01-17,HW,Air,32400,Hawaii,HW,AM
2017-01-17,BG,Sea,33015,Belgium,BG,EU
2017-01-17,EQ,Sea,36762,Equatorial Guinea,EQ,AF
2017-01-17,PO,Sea,31827,Portugal,PO,EU
2017-01-18,SE,Sea,32961,Serbia,SE,EU
2017-01-18,PA,Sea,34288,Panama,PA,AM
2017-01-18,PO,Sea,35478,Portugal,PO,EU
2017-01-18,VE,Sea,35469,Venezuela,VE,AM
2017-01-18,JA,Air,35515,Jamaica,JA,AM
2017-01-18,CZ,Air,30492,Czech Republic (Czechia),CZ,EU
2017-01-18,US,Air,36851,United States,US,AM
2017-01-18,PG,Air,38449,Paraguay,PG,AM
2017-01-18,AN,Air,36100,Andorra,AN,EU
2017-01-18,GE,Sea,37142,Germany,GE,EU
2017-01-18,EC,Air,32577,Ecuador,EC,AM
2017-01-18,LI,Air,35863,Lithuania,LI,EU
2017-01-18,HS,Sea,36953,Holy See,HS,EU
2017-01-18,PG,Sea,30750,Paraguay,PG,AM
2017-01-18,CO,Air,36893,Colombia,CO,AM
2017-01-18,MD,Sea,30116,Moldova,MD,EU
2017-01-18,SL,Sea,38785,Slovakia,SL,EU
2017-01-18,IC,Sea,37085,Iceland,IC,EU
2017-01-18,MN,Air,39447,Montenegro,MN,EU
2017-01-18,DE,Sea,37856,Denmark,DE,EU
2017-01-19,GL,Sea,34877,Greenland,GL,AM
2017-01-19,EC,Air,37656,Ecuador,EC,AM
2017-01-19,IR,Sea,31049,Ireland,IR,EU
2017-01-19,HO,Air,34275,Honduras,HO,AM
2017-01-19,DR,Air,32697,Dominican Republic,DR,AM
2017-01-19,SW,Air,38517,Switzerland,SW,EU
2017-01-19,IT,Sea,34211,Italy,IT,EU
2017-01-19,SU,Sea,30219,Suriname,SU,AM
2017-01-19,NO,Air,38650,Norway,NO,EU
2017-01-19,UKR,Sea,32100,Ukraine,UKR,EU
2017-01-19,IN,Air,39331,India,IN,AS
2017-01-19,NM,Sea,39530,North Macedonia,NM,EU
2017-01-19,SA,Air,37204,South Africa,SA,AF
2017-01-19,JA,Sea,35465,Jamaica,JA,AM
2017-01-19,BE,Sea,36021,Belize,BE,AM
2017-01-19,UKR,Sea,39068,Ukraine,UKR,EU
2017-01-19,BR,Air,38297,Belarus,BR,EU
2017-01-19,JP,Air,35191,Japan,JP,AS
2017-01-19,CL,Sea,33273,Chile,CL,AM
2017-01-19,AL,Air,39385,Albania,AL,EU
2017-01-20,MR,Air,32817,Morroco,MR,AF
2017-01-20,MA,Air,36674,Malta,MA,EU
2017-01-20,AR,Sea,38279,Argentina,AR,AM
2017-01-20,EC,Air,35890,Ecuador,EC,AM
2017-01-20,CA,Air,37600,Canada,CA,AM
2017-01-20,DR,Air,37516,Dominican Republic,DR,AM
2017-01-20,GY,Air,34345,Guyana,GY,AM
2017-01-20,SP,Air,31327,Spain,SP,EU
2017-01-20,PA,Sea,35417,Panama,PA,AM
2017-01-20,SM,Sea,30150,San Marino,SM,EU
2017-01-20,PE,Air,37434,Peru,PE,AM
2017-01-20,BU,Air,37091,Bulgaria,BU,EU
2017-01-20,NM,Sea,30799,North Macedonia,NM,EU
2017-01-20,HT,Sea,37295,Haiti,HT,AM
2017-01-20,BM,Air,32559,Bahamas,BM,AM
2017-01-20,GE,Air,37968,Germany,GE,EU
2017-01-20,LU,Sea,31531,Luxembourg,LU,EU
2017-01-20,US,Air,31150,United States,US,AM
2017-01-20,UK,Sea,38193,United Kingdom,UK,EU
2017-01-20,SD,Air,35154,Sweden,SD,EU
2017-01-21,NI,Sea,30650,Nicaragua,NI,AM
2017-01-21,IC,Sea,34482,Iceland,IC,EU
2017-01-21,IR,Air,36232,Ireland,IR,EU
2017-01-21,CU,Sea,31987,Cuba,CU,AM
2017-01-21,BZ,Air,30843,Brazil,BZ,AM
2017-01-21,UR,Air,38647,Uruguay,UR,AM
2017-01-21,CH,Sea,34850,China,CH,AS
2017-01-21,UKR,Sea,36689,Ukraine,UKR,EU
2017-01-21,FR,Air,39388,France,FR,EU
2017-01-21,LU,Sea,37911,Luxembourg,LU,EU
2017-01-21,GY,Air,33421,Guyana,GY,AM
2017-01-21,PG,Sea,37950,Paraguay,PG,AM
2017-01-21,MR,Air,33515,Morroco,MR,AF
2017-01-21,CH,Sea,36360,China,CH,AS
2017-01-21,SA,Air,31516,South Africa,SA,AF
2017-01-21,AR,Sea,33713,Argentina,AR,AM
2017-01-21,RU,Air,32897,Russia,RU,EU
2017-01-21,EQ,Sea,36834,Equatorial Guinea,EQ,AF
2017-01-21,PL,Sea,32562,Poland,PL,EU
2017-01-21,BU,Sea,37072,Bulgaria,BU,EU
2017-01-22,MO,Sea,37318,Monaco,MO,EU
2017-01-22,RO,Sea,35131,Romania,RO,EU
2017-01-22,UKR,Air,38540,Ukraine,UKR,EU
2017-01-22,BM,Sea,30169,Bahamas,BM,AM
2017-01-22,MN,Sea,38978,Montenegro,MN,EU
2017-01-22,BH,Air,31204,Bosnia and Herzegovina,BH,EU
2017-01-22,UK,Sea,31219,United Kingdom,UK,EU
2017-01-22,NZ,Sea,32269,New Zealand,NZ,OC
2017-01-22,FR,Air,32561,France,FR,EU
2017-01-22,LI,Sea,34092,Lithuania,LI,EU
2017-01-22,GE,Air,39644,Germany,GE,EU
2017-01-22,HT,Air,38348,Haiti,HT,AM
2017-01-22,SM,Sea,30548,San Marino,SM,EU
2017-01-22,DE,Sea,30409,Denmark,DE,EU
2017-01-22,SP,Sea,36102,Spain,SP,EU
2017-01-22,JA,Air,34744,Jamaica,JA,AM
2017-01-22,IT,Sea,37835,Italy,IT,EU
2017-01-22,GL,Air,32009,Greenland,GL,AM
2017-01-22,GU,Air,38340,Guatemala,GU,AM
2017-01-22,SL,Air,31586,Slovakia,SL,EU
2017-01-23,FI,Sea,35167,Finland,FI,EU
2017-01-23,BZ,Air,36985,Brazil,BZ,AM
2017-01-23,SE,Sea,36053,Serbia,SE,EU
2017-01-23,CT,Air,38283,Croatia,CT,EU
2017-01-23,JA,Sea,34768,Jamaica,JA,AM
2017-01-23,AT,Air,33959,Australia,AT,OC
2017-01-23,MR,Air,30878,Morroco,MR,AF
2017-01-23,SA,Sea,32604,South Africa,SA,AF
2017-01-23,NO,Sea,33855,Norway,NO,EU
2017-01-23,IN,Air,37840,India,IN,AS
2017-01-23,VE,Air,38035,Venezuela,VE,AM
2017-01-23,DR,Sea,35047,Dominican Republic,DR,AM
2017-01-23,LU,Sea,30502,Luxembourg,LU,EU
2017-01-23,DE,Sea,33746,Denmark,DE,EU
2017-01-23,NZ,Air,32284,New Zealand,NZ,OC
2017-01-23,SD,Sea,31225,Sweden,SD,EU
2017-01-23,RU,Sea,37915,Russia,RU,EU
2017-01-23,SK,Air,38398,South Korea,SK,AS
2017-01-23,SL,Air,37335,Slovakia,SL,EU
2017-01-23,NM,Air,33502,North Macedonia,NM,EU
2017-01-24,UR,Air,31474,Uruguay,UR,AM
2017-01-24,BA,Sea,35619,Barbados,BA,AM
2017-01-24,BR,Sea,35344,Belarus,BR,EU
2017-01-24,PA,Air,30935,Panama,PA,AM
2017-01-24,NZ,Sea,31114,New Zealand,NZ,OC
2017-01-24,GE,Air,33263,Germany,GE,EU
2017-01-24,UR,Air,36141,Uruguay,UR,AM
2017-01-24,UK,Air,36756,United Kingdom,UK,EU
2017-01-24,ES,Sea,39721,El Salvador,ES,AM
2017-01-24,JA,Air,36751,Jamaica,JA,AM
2017-01-24,UK,Air,30898,United Kingdom,UK,EU
2017-01-24,SW,Sea,34352,Switzerland,SW,EU
2017-01-24,SM,Sea,37550,San Marino,SM,EU
2017-01-24,AL,Sea,33707,Albania,AL,EU
2017-01-24,DR,Sea,34848,Dominican Republic,DR,AM
2017-01-24,BH,Sea,39361,Bosnia and Herzegovina,BH,EU
2017-01-24,SE,Sea,30767,Serbia,SE,EU
2017-01-24,CO,Air,34120,Colombia,CO,AM
2017-01-24,NZ,Sea,37041,New Zealand,NZ,OC
2017-01-24,AT,Air,30767,Australia,AT,OC
2017-01-25,GE,Air,37204,Germany,GE,EU
2017-01-25,JP,Air,36115,Japan,JP,AS
2017-01-25,PG,Sea,36237,Paraguay,PG,AM
2017-01-25,PL,Air,31983,Poland,PL,EU
2017-01-25,PL,Sea,32114,Poland,PL,EU
2017-01-25,RU,Sea,30404,Russia,RU,EU
2017-01-25,GE,Sea,33720,Germany,GE,EU
2017-01-25,BU,Sea,32094,Bulgaria,BU,EU
2017-01-25,DR,Air,33770,Dominican Republic,DR,AM
2017-01-25,CL,Sea,32223,Chile,CL,AM
2017-01-25,LU,Sea,31653,Luxembourg,LU,EU
2017-01-25,PO,Air,33977,Portugal,PO,EU
2017-01-25,LU,Air,36154,Luxembourg,LU,EU
2017-01-25,CH,Air,35109,China,CH,AS
2017-01-25,CH,Sea,34308,China,CH,AS
2017-01-25,US,Sea,32331,United States,US,AM
2017-01-25,CT,Sea,30636,Croatia,CT,EU
